name,url,last_day,last_month,last_week,updated_at
boto3,https://pypi.org/simple/boto3/,64136489,1488397305,356218627,1769616362.157077
urllib3,https://pypi.org/simple/urllib3/,44678128,1132900142,272834143,1769754807.8534863
botocore,https://pypi.org/simple/botocore/,44928517,1032443416,251985371,1769616549.7251112
certifi,https://pypi.org/simple/certifi/,40542880,994582969,238405442,1769619942.6047628
typing-extensions,https://pypi.org/simple/typing-extensions/,39314643,994051968,235327132,1769753424.0914245
requests,https://pypi.org/simple/requests/,38125097,974677692,232153357,1769728926.3393135
packaging,https://pypi.org/simple/packaging/,45140117,963329230,288864883,1769706881.7948408
idna,https://pypi.org/simple/idna/,36647535,927815844,222602630,1769655074.5696716
setuptools,https://pypi.org/simple/setuptools/,42006998,918950661,262177438,1769735676.5720136
charset-normalizer,https://pypi.org/simple/charset-normalizer/,37444478,908108305,216429810,1769620448.6481895
aiobotocore,https://pypi.org/simple/aiobotocore/,33504918,880728381,235255723,1769606445.1639512
python-dateutil,https://pypi.org/simple/python-dateutil/,29160361,755213956,178836622,1769722874.3396459
grpcio-status,https://pypi.org/simple/grpcio-status/,25974624,712831293,163663437,1769650989.3550153
six,https://pypi.org/simple/six/,28170551,710148186,170147488,1769737868.1091437
numpy,https://pypi.org/simple/numpy/,24822742,638697272,155078481,1769698656.6686673
s3transfer,https://pypi.org/simple/s3transfer/,24807740,626878468,154826712,1769731978.4875753
cryptography,https://pypi.org/simple/cryptography/,27822814,581670852,149483085,1769626100.392506
cffi,https://pypi.org/simple/cffi/,26895933,552802532,143117780,1769620070.7685611
s3fs,https://pypi.org/simple/s3fs/,16777317,543146353,126414974,1769731936.5011744
pydantic,https://pypi.org/simple/pydantic/,23596624,537923447,134381723,1769717462.6670778
fsspec,https://pypi.org/simple/fsspec/,20268784,532959602,129395839,1769646332.358806
pycparser,https://pypi.org/simple/pycparser/,24622056,508701048,138073242,1769717298.6793325
pluggy,https://pypi.org/simple/pluggy/,18363096,497097041,114988743,1769711051.3671603
protobuf,https://pypi.org/simple/protobuf/,17524255,490400365,106799690,1769713485.717775
pandas,https://pypi.org/simple/pandas/,18353823,467558271,114869990,1769707237.75631
click,https://pypi.org/simple/click/,20682647,467113823,118106143,1769621876.4012482
attrs,https://pypi.org/simple/attrs/,19218536,437956241,110184916,1769611461.197484
pydantic_core,https://pypi.org/simple/pydantic-core/,18892364,436624893,109499834,1769717535.6815395
pytest,https://pypi.org/simple/pytest/,14723475,414618603,93134303,1769722145.7774272
h11,https://pypi.org/simple/h11/,19103993,403895622,107561950,1769651546.7326417
pip,https://pypi.org/simple/pip/,16607608,402328578,99155921,1769710081.6899955
platformdirs,https://pypi.org/simple/platformdirs/,16266936,401272479,97469025,1769710685.3404243
iniconfig,https://pypi.org/simple/iniconfig/,13973599,394830814,88826312,1769656373.2833977
anyio,https://pypi.org/simple/anyio/,17099762,392870455,98377985,1769609042.15684
jmespath,https://pypi.org/simple/jmespath/,17335085,391964164,104182093,1769658798.7987645
rsa,https://pypi.org/simple/rsa/,14504151,384314355,87375264,1769731238.6795104
